Dates,PR_0.05,PR_0.08,PR_0.1
2021-11-29,8.016032065120241e-07,8.016032065120241e-07,8.016032065120241e-07
2021-12-12,5.611222444984169e-06,5.611222444984169e-06,5.611222444984169e-06
2021-12-25,4.008016032160121e-06,4.008016032160121e-06,4.008016032160121e-06
2022-01-07,1.0020040081150303e-06,1.0020040081150303e-06,1.0020040081150303e-06
2022-01-20,5.611222444984169e-06,5.611222444984169e-06,5.611222444984169e-06
2022-02-02,1.0020040081150303e-06,1.0020040081150303e-06,1.0020040081150303e-06
2022-02-15,4.809619238572145e-06,4.809619238572145e-06,4.809619238572145e-06
2022-02-28,1.2024048097180363e-06,1.2024048097180363e-06,1.2024048097180363e-06
2022-03-13,1e-16,1e-16,1e-16
2022-03-26,1.4028056113210423e-06,1.4028056113210423e-06,1.4228456913913428e-05
2022-04-08,6.412825651396193e-06,6.412825651396193e-06,5.611222444984169e-06
2022-04-21,2.0040080161300603e-06,2.0040080161300603e-06,2.0040080161300603e-06
2022-05-04,4.0080160330601207e-07,4.0080160330601207e-07,4.0080160330601207e-07
2022-05-17,6.012024049090181e-07,6.012024049090181e-07,6.012024049090181e-07
2022-05-30,8.016032065120241e-07,8.016032065120241e-07,8.016032065120241e-07
2022-06-12,7.014028056205211e-06,7.014028056205211e-06,7.014028056205211e-06
2022-06-25,2.204408817733066e-06,2.204408817733066e-06,2.204408817733066e-06
2022-07-08,2.8056112225420843e-06,2.8056112225420843e-06,2.8056112225420843e-06
